,ZIP_CD,mean,std,80Perc,90Perc,ST
0,10006,26206.3912002,65225.4374522,15411.7052478,37747.5433876,NY
1,10011,17470.8049877,38720.8974669,16344.8787801,38051.0916079,NY
2,10013,17197.7770058,42288.5592428,16211.6776147,29916.19644,NY
3,10016,32174.7402208,74329.9101427,24625.3388539,77031.7092685,NY
4,10019,14630.0884841,29892.0487201,14269.3610266,48420.0229035,NY
5,10024,12961.9763236,30760.9921065,14570.3824386,19931.8776734,NY
6,10026,6973.9102816,18814.5936853,5491.71286675,11449.9772546,NY
7,10032,7897.10431709,30588.0696153,7035.33014669,11145.3362049,NY
8,10033,18438.524976,59863.4436324,6613.23793872,40333.9086414,NY
9,10036,32540.4749821,48068.7575606,45196.6430675,78608.3274939,NY
10,10040,88285.4875504,8042.57253147,93362.6093341,96268.0330893,NY
11,10075,30748.3736473,57826.3705618,40211.7006898,80872.2613517,NY
12,10170,29884.3910307,54322.5723306,33824.8212152,66428.1039377,NY
